frame_id,timestamp_sec,track_id,class,x1,y1,x2,y2,center_x,center_y,confidence,displacement_px,direction,speed_mps,status,alerts
77,2.533,60,person,994,1023,1082,1080,1038,1051,0.6871,0.0,Stationary,0.0,Stationary,Normal
77,2.533,62,motorcycle,1268,786,1319,887,1293,836,0.5223,0.0,Stationary,0.0,Stationary,Normal
78,2.567,60,person,1001,1015,1100,1079,1050,1047,0.7314,12.65,Right,4.74,Moving,Normal
78,2.567,62,motorcycle,1283,803,1322,879,1302,841,0.4576,10.3,Right,3.86,Moving,Normal
78,2.567,1,car,1713,596,1771,641,1742,618,0.4495,6.08,Up,2.28,Moving,Normal
79,2.6,60,person,1008,1004,1125,1079,1066,1041,0.7055,17.09,Right,6.41,Moving,Normal
79,2.6,62,person,1289,774,1334,863,1311,818,0.6269,24.7,Up,9.26,Moving,Normal
80,2.633,60,person,1013,992,1146,1079,1079,1035,0.6346,14.32,Right,5.37,Moving,Normal
80,2.633,62,person,1296,765,1342,855,1319,810,0.5447,11.31,Up,4.24,Moving,Normal
80,2.633,1,car,1716,594,1771,638,1743,616,0.426,2.24,Stationary,0.84,Stationary,Normal
81,2.667,60,person,1020,982,1165,1079,1092,1030,0.5476,13.93,Right,5.22,Moving,Normal
81,2.667,62,person,1304,758,1352,852,1328,805,0.5081,10.3,Right,3.86,Moving,Normal
82,2.7,60,person,1028,973,1183,1079,1105,1026,0.629,13.6,Right,5.1,Moving,Normal
82,2.7,62,person,1312,753,1359,845,1335,799,0.6021,9.22,Right,3.46,Moving,Normal
82,2.7,23,motorcycle,1456,633,1492,691,1474,662,0.4107,26.4,Right,9.9,Moving,Normal
83,2.733,60,person,1039,962,1205,1079,1122,1020,0.6622,18.03,Right,6.76,Moving,Normal
83,2.733,62,person,1321,749,1367,842,1344,795,0.5028,9.85,Right,3.69,Moving,Normal
83,2.733,66,car,1759,562,1811,603,1785,582,0.4215,0.0,Stationary,0.0,Stationary,Normal
84,2.767,60,person,1045,953,1218,1079,1131,1016,0.5849,9.85,Right,3.69,Moving,Normal
